,Unnamed: 0,arg0,arg1,v
588,588, by CONFUSION, A disorder, characterized
593,593, people, of seizures, think
594,594, Not all seizures, convulsions, cause
601,601, who, seizures, recurring
603,603," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
608,608, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
611,611, A pattern of psychoactive substance use, damage to health, causing
613,613, It," digest food , store energy", helps
614,614, Viruses, most cases of hepatitis, cause
617,617, your body, healthy cells in the liver, attacks
628,628, It," digest food , store energy", helps
629,629, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
638,638, The hepatitis A vaccine, prevent HAV, can
644,644, by the hepatitis A virus, the liver, caused
646,646, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
650,650, dependence," the term "" drug addiction", replaced
659,659, people, of seizures, think
660,660, Not all seizures, convulsions, cause
667,667, who, seizures, recurring
669,669," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
673,673, by the patient," "" Subjective evidence of disease", perceived
675,675, by delirium, 3, complicated
678,678, a condition, rapidly changing mental states, features
679,679, It, confusion and changes in behavior, causes
689,689, People with delirium, a full recovery, make
692,692," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
693,693," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
696,696, by CONFUSION, A disorder, characterized
701,701, people, of seizures, think
702,702, Not all seizures, convulsions, cause
709,709, who, seizures, recurring
711,711," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
716,716, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
720,720," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
725,725, by a false sensory perception, A disorder, characterized
726,726, by the individual, an appropriate stimulus, regarded
728,728, mental disorders, abnormal thinking and perceptions, cause
729,729, People with psychoses, touch, lose
734,734, Treatment, on the cause of the psychosis, depends
737,737, a person, the ability to recognize reality or relate to others, loses
738,738, The person, with the demands of everyday life, cope
740,740," by personality change ,", A mental disorder, characterized
741,741, by impaired reality which may include perceptual disturbances, A mental state, characterized
742,742," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
746,746, conditions," your thinking , feeling , mood , and behavior", affect
753,753, You," answer questions about your thinking , feelings , and behaviors", will
754,754, Treatment, on which mental disorder you have and how serious it is, depends
755,755, You and your provider, work on a treatment plan just for you, will
758,758, Some people, social support and education, need
764,764, by behavioral and/or psychological abnormalities, A disorder, characterized
